name,dish,Operation time
Jun-Men Ramen Bar,,
Jora,,
Jungsik,,
Ivan Ramen,"{'Drinks Menu': {'Honjozo': 'Kikusui Shuzo', 'Junmai': 'Kokuryu Kuzuryu ""Nine Headed Dragon"",Miyasaka ""Yawaraka Junmai"",Oze No Yukidoke Ohkarakuchi Junmai', 'Sake Cocktails': 'Tokyo Tea,Negroni,Sangria', 'Beer': 'Sorry Session Yuzu Salt,Wednesday Cat,Niigata Beer,Orion,Asahi Super Dry 1L', 'Sake': '', 'On Draft': ""Sorachi Ace,War Flag Pilsner,Easy Rye'da,Sliced Nectarine IPA,Rubus Rebus,Wolffer Rose Cider"", 'Refreshments': 'Iced Roasted Barley Tea,Yuzu Lemonade,Ivan Palmer,Coke, Diet Coke, Sprite, Ginger Ale,Ramune Lychee Soda', 'Junmai Daiginjo': 'Tedorigawa Iki Na Onna ""Lady Luck"",Dassai 50 Junmai Daiginjo Nigori,Oze No Yukidoke Nama Genshu,Masumi ""Nanago"" Seventh Heaven', 'Junmai / Junmai Ginjo': 'Koshi No Kanbai ""Tokusen"",Trapeza - Cask Release, Seitoku Meijo,Akitabare ""Kawashin"" Snow Diamond,Kamoizumi ""Summer Snow"" Nigori Ginjo'}, 'Brunch Menu': {'Brunch': ""Herbie's International,Double-Stack Buckwheat Waffles,Latke, Bacon & Eggs"", 'Starters': 'Pickled Daikon X0,Chinese Greens & Garlic,Kyuri Pickles,Pork Meatballs,Roasted Beet,Kewpie Ebi', 'Bottomless Brunch': '90 Minutes Unlimited,Choose One Ramen', 'Noodles': 'Breakfast Ramen,Tokyo Shoyu Ramen,Tokyo Shio Ramen,Vegetarian Ramen,Spicy Red Chili Ramen,Tonkotsu Tsukemen', 'Brunch Cocktails': 'Stumptown Iced Coffee,Sake Bloody-Tini,Sake Mimosa', 'Noodle Add-Ons': 'Egg,Pork Chashu,Roast Tomato,Enoki Mushrooms,Field Greens,Cured Tofu,Young Bok Choy,Bamboo Shoots,Nori,Kaedama,Sub. Tofu Noodles'}, 'Dinner Menu': {""Ivan's Specials"": 'Triple Pork Triple Garlic Mazemen,Miso Tonkotsu Tsukemen,Chilled Yuzu-Shio Ramen,Ahi Tuna Hiyashi Chuka', 'Cold': 'King Trumpet ""Noodles"",Pickled Daikon XO,Fluke Crudo,Roasted Corn Salad', 'Hot': 'Chicken Wings,Pork M Eatballs,Steamed Pork Buns', 'Starters': '', 'Noodles': '', 'Classic': 'Tokyo Shio Ramen,Tokyo Shoyu Ramen,Vegetarian Ramen,Spicy Red Chili Ramen', 'Noodle Add-Ons': 'Koji Tofu,Minced Garlic Chicken,Shoyu Glazed Pork Belly,Braised Bamboo,Roasted Corn,Young Bok Choy,Roasted Tomato,Enoki Mushrooms,Extra Noodles,Sub. Gluten Free Tofu Noodles'}, 'Lunch Menu': {'Mains': ""Herbie's International Sandwich"", 'Side': 'Kyuri Pickles,Chinese Greens and Garlic,Pickled Daikon Xo', 'Starters': 'Roast Pork Musubi,Kyuri Pickles,Pickled Daikon X0,Kewpie Ebi,Chinese Greens & Garlic,Pork Meatballs,Furikake Ribs,Roasted Beets', 'Express Lunch': '', 'Noodles': 'Tokyo Shoyu Ramen,Tokyo Shio Ramen,Vegetarian Ramen,Spicy Red Chili Ramen,Tonkotsu Tsukemen,Chicken Dan Dan', 'Ramen': 'Tokyo Shio,Tokyo Shoyu,Vegetarian Shoyu,Spicy Red Chili', 'Noodle Add-Ons': 'Egg,Pork Chashu,Roast Tomato,Enoki Mushrooms,Field Greens,Cured Tofu,Young Bok Choy,Bamboo Shoots,Nori,Kaedama,Sub. Tofu Noodles'}}",Sunday - Thursday 12:30pm-10:00pm    Fri-Sat 12.30pm-11:00pm
Jin Ramen,{},
Jean-Georges,{},"Lunch: Monday - Sunday 11:45am - 2:30pm    Dinner: Monday - Thursday, 5:30pm - 11pm, Friday, Saturday 5:00pm-11:00pm Sunday 5:30pm - 10:30pm                                                                                                                                                                                                                                                                                                                                                                 "
Karczma,,
Katz's,,
Junoon,,
Keens,,
Kanoyama,,
Kajitsu,"{'Dinner Menu': {'Main': 'Omakase,Hana'}}","Dinner: Tuesday - Sunday: 5:30pm - 9:00pm (last order)    (Closed on Mondays)    SPECIAL HOLIDAY HOURS:    Christmas 12/25- OPEN, 12/26 - CLOSED    New Years 1/1- OPEN, 1/2-CLOSED"
Kesté Pizza & Vino,,
Kiin Thai,,
John Brown Smokehouse,{},
Kiki's,,
Katsuno,"{'Main Menu': {'Udon & Soba in warm soup': 'Kake Udon / Soba,Tanuki Udon / Soba,Wakame Udon / Soba,Plum & Perilla Udon / Soba,Poached Egg Udon / Soba,Tender Pork Udon / Soba,Magritte Duck Udon / Soba,Tempura Udon / Soba', 'Nigiri Sushi A La Carte': 'Tuna,Fluke,Yellow Tail,Salmon,Snow Crab,Tsubugai,Octopus,Shrimp,Kampachi,Sea Scallop,Spanish Mackerel,Mackerel,Eel,Egg,Tobiko,Ikura,Uni,Toro', 'Sashimi A La Carte': 'Tuna,Fluke,Yellow Tail,Salmon,Spanish Mackerel,Octopus,Kampachi,Sea Scallop,Mackerel,Egg,Tobiko,Black Tobiko,Ikura,Uni,Toro', 'Soup/Rice': 'Miso Soup,Akadashi Dark Miso Soup,Clam Miso Soup,Clam Akadashi Dark Miso Soup,Rice,Sushi Seasoned Rice', 'Zensai': ""Edamame,Today's Ohitashi,Agedashi Tofu,Onsen Tamago,Tofu Dengaku,Tempura,Shrimp Tempura,Squid Tempura,Fried Chicken,Grilled Chicken Thigh,Today's Zensai,Hijiki,Stewed Cold Pumpkin,Egg Tofu,Tamagoyaki,Cucumber Moromi Miso,Chawanmushi,Steamed Asari Clam,Beef Tataki,Magritte Duck,Chilled Steamed Octopus,Sea Urchin Egg Tofu"", 'Cold Noodles': 'Inaniwa Hiyagake,Inaniwa Umeshiso Hiyagake,Hiyagake Soumen,Zaru Soba,Zaru Udon,Tenzaru Soba,Tenzaru Udon', 'Vinaigrette': 'Cucumber & Wakame Vinaigrette,Octopus & Cucumber Vinaigrette,Snow Crab & Cucumber Vinaigrette,Eel & Cucumber Vinaigrette', 'Sushi/Sashimi': 'Nigiri Sushi Platter,Chirashi,Sashimi Dinner,Battera,Salmon Sashimi,Yellow Tail Sashimi,Three kinds of Sashimi,Five kinds of Sashimi,Sashimi Assortment', 'Meat': 'Stewed Organic Berkshire Pork Belly,Sautéed Chicken Breast,Pork Hirekatsu,Beef Fillet Mignon Demiglace Sauce,Rib Eye Steak,Wagyu Rib Eye Steak', 'Fish': 'Grilled Black Cod,Sautéed Salmon,Tempura Assortment,Grilled Mackerel,Hamachi Kama*,Kampachi Kama*,Salmon Kama*', 'Rolls': 'Tuna Roll,Yellow Tail Roll,Salmon Roll,Eel Roll,Ikura Salmon Roe Roll,Sea Urchin Roll,Toro and Scallion,Cucumber Roll,Plum & Pellira Roll,Avocado Roll,Spicy Tuna Roll,Spicy Salmon Roll,California Roll,Snow Crab California,Shrimp Tempura Roll,Eel Avocado Roll,Salmon Avocado Roll,Cucumber Avocado', 'Crudo': 'Spanish Mackerel Tataki,Maguro Nuta,Fluke Yuzu Ponzu Sauce,Salmon Carpaccio', 'Salad': 'Green Salad,Tomato Asparagus Salad,Hijiki String Bean Lettuce Salad,Tuna & Avocado Salad,Crispy Baby Shrimp Tempura Salad,Snow Crab & Avocado Salad,Squid & Celery Salad with Salmon Roe,Salmon & Sea Urchin Salad'}, 'Drinks': {'Sake by the bottle': 'Jitsuraku,Yamada Nishiki,Hakkaisan,Hakkaisan,Otokoyama Tokubetsu,OZE no yukidoke,Showun,Tamanohikari,Dassai 50,Dassai 23,Kubota Senjyu,Hakkaisan,Hanagaki,Dassai 50,Urakasumi Zen,Dassai 23,Urakasumi', 'Flavored Sake by the glass': 'Lychee Sake,Plum Wine,White Peach Sake,Yuzu Sake,Fuji Apple Sake', 'Sparkling Sake by the bottle': 'Mio Sparkling,Hana Awaka Sparkling,Hana Fuga Sparkling,Hana Fuga Sparkling', 'Unfiltered Sake by the bottle': 'Kikusui Perfect Snow,Dassai Nigori,Hakkaisan Nigori Sparkling,Sawasawa', 'Sake by the glass': 'Otokoyama Tokubetsu,Tsukasabotan,Harushika,Taru Sake,One Cup Ozeki Nigori,Tamanohikari,Kubota Senjyu,Kenbishi Kuromatsu,Wakatake,Hanagaki,Dassai 50'}}",Wednesday - Friday: 5:30pm - 10:00pm    Saturday: 5:00pm - 10:00pm    Sunday: 5:00pm - 9:00pm
Kafana,"{'Wine List': {'House Wine': 'Red or White', 'Rose': 'Rose, Weninger & Gere, Villany, Hungary 2011,Rose De Pacs, Pares Balta, Spain 2011,Rose, Plavac Mali , Bura, Croatia 2011,Varijanta Rose , Aleksandrovic, Serbia 2010', 'Sweet Wine': 'Muscat , Kozlovic, Croatia 2006,Welschriesling Berry Selection, Vlado, Slovenia 2006,Ice Wine, Sanctum, Slovenia 2008', 'Orange': 'Belaquela, Klinec, Slovenia 2004,Malvasia Acacia, Kozlovic, Croatia 2007,Istria Ottocento Bianco, Clai Bijele Zemlje, Croatia 2010,Malvasia Sv. Jakov, Clai Bijele Zemlje, Croatia 2010,Malvasia, Cotar, Slovenia 2007,Vitovska, Cotar, Slovenia 2007,Malvasia, Klabjan, Slovenia 2006,Ines in Whites, Roxanich, Croatia 2008,Lunar, Ribolla, Movia, Slovenia 2008,Lunar, Chardonney, Movia, Slovenia 2008', 'Red': 'Vranec, Stoby, Macedonia 2011,Cabernet Sauvignon, Plantaze, Montenegro 2007,Portuguiser, Mackov Podrum, Agrina Doo, Serbia 2011,Vranac, Jovic, Serbia 2008,Vranac Pro-Corde, Plantaze, Montenegro 2007,Plavac Mali, Lirica, Croatia 2007,Babic, Pilzota, Croatia 2008,Prokupac, Triada, Vino Budimir, Serbia 2007,Prokupac, Ivanovic, Serbia 2008,Blaufrankisch, Pullus Black, Slovenia 2006,Merlot, Mansus, Slovenia 2007,Gamay, Obecanje, Francuska Vinarija Rogljevo, Serbia 2008,Zweigelt, Enjingi, Croatia 2006,Refosk(teran), Klabjan, Slovenia 2008,Vranac Barrique, Plantaze, Montenegro 2005,Quela, Klinec, Slovenia 2005,Regent Reserve, Aleksandrovic, Serbia 2007,Sub Rosa, Vino Budimir, Serbia 2007,Dingac, Ivo Skaramuca, Croatia 2008,Pinot Noir, Simcic, Slovenia 2007,Pinot Noir, Movia, Slovenia 2003,Cabernet Sauvignon, Movia, Slovenia 2007,Plavac Barrique , Zlatan Plenkovic, Croatia 2008,Veliko Rosso, Movia, Slovenia 2004,Plavac Mali, Grgic, Croatia 2007,Dingac, Bura, Croatia 2007', 'Sparkling': 'Prosecco, Pisani, Italy Nv,Kraska Penina Teran, Vina Kras, Slovenia 2011', 'White': ""Krstac, Plantaze, Montenegro 2007,Zilavka, Stroby, Macedonia 2011,Pinot Grigio, Giocato, Edi Simcic, Slovenia 2008,Welschriesling/Grasevina, 'Fresh', Enjingi, Croatia 2010,Toh-Kai, Quattro Mani, Movia, Slovenia 2008,Venje, Enjigi, Croatia 2003,Posip Cara Premium, Pz , Croatia 2010,Tamjanika Zupska, Vino Budimir, Serbia, 2009,Welschriesling, Margus Margi, Vino Budimir, Serbia, 2008,Pinot Grigio, Simcic, Slovenia 2009,Grasevina, Enjingi, Croatia 2006,Malvazija, Kozlovic, Croatia 2009,Posip , Marko Polo, Croatia 2009,Morava, Milan Jelic, Serbia, 2011,Pinot Grigio, Movia, Slovenia 2008,Ribolla, Movia, Slovenia 2010,Posip , Grgic, Croatia 2009,Harizma , Aleksandrovic, Serbia 2009,Trijumf , Aleksandrovic, Serbia 2010,Veliko Bianco, Movia, Slovenia 2006"", 'Beer': 'Stella (Belgium),Staro Pramen (Czech),Sarajevsko (B&h),Jelen (Serbia),Sarajevsko (B&h),Niksicko (Montenegro)'}, 'Main Menu': {'Salads': 'Sopska,Kupus,Pecena Paprika,Celer I Cvekla,Zelena', 'Appetizers': 'Soup of the Day,Meat Meze,Cheese Meze,Gibanica - Cheese Pie,Zeljanica - Spinach Pie,Lepinja Sa Kajmakom,Girice Sa Urnebes Sosom,Dimljena Pastrmka', 'From the Grill': 'Cevapi,Kobasice - Sausages,Dimljena Vesalica,Rolovane Suve Sljive I Dzigerica,Krmenadla,Mesano Meso,Pljeskavica,Riba Na Zaru,Pileci Raznjici,Sa Kajmako M', 'Main Dishes': 'Karadjordjeva,Jagnjeca Kapama,Prebranac,Prebranac Sa Kobasic Om Po Izboru,Corbast Pasulj Sa Dimljenim Rebarcima,Punjena Pljeskavica'}, 'Dessert Menu': {'Hot Drinks': 'Espresso,Macchiato,Capuccino,Latte,Turkish Coffee,Tea', 'Desserts': 'Zito Sa Slagom,Pita Sa Visnjama,Reforma,Palacinke,Kesten Pire Sa Slagom,Baklava Tulumba', 'Sweet Wine': 'Muscat , Kozlovic, Croatia 2006,Welschriesling Selection, Vlado, Slovenia 2006,Ice Wine, Sanctum, Slovenia 2008'}}","Lunch: Saturday - Sunday: 12:00pm - 5:00pm; Dinner: Sunday - Thursday: 5:00pm - 11:00pm, Friday - Saturday: 5:00pm - 1:00am"
King,,
Kang Ho Dong Baekjeong,{},
Ko,,
Kings County Imperial,{},
Kunjip,,
Kung Fu Little Steamed Buns Ramen,,
Kosaka,"{'Dinner Menu': {'180ml Kataguchi ""Carafe""': 'Denshin Yuki, Junmai Ginjo, Fukui,Shimeharitsuru, Junmai Ginjo, Niigata,Ken, Daiginjo, Fukushima,Hakkaisan ""Eight Peaks"", Daiginjo, Niigata,Wing of Japan, Junmai Daiginjo, Fukui', 'Flavored Cold Sake By The Glass': 'Yamamoto Yuzu Omoi (Citrus),Kaori Umeshu (Plum)', 'Montagne de Reims': ""Savart, Brut L`Ouverture 1er Cru NV,Emmanuel Brochet, Extra Brut Le Mont Benoit 1er Cru NV,Ployez-Jacquemart, Brut Liesse d'Harbonville, 1999,Dom Perignon, Moët & Chandon, 2006,Krug, Brut Grande Cuvée NV,Louis Roederer, Brut Cristal, 2007"", 'Savory Sushi': 'Uni Sushi Cup,Foie Gras,King Crab,Seared Uni', 'Sake': 'Sake Tasting,Sparkling Sake 300ml Bottle,Warm Sake 250ml Carafe', 'Cold Sake By The Glass 100ml': 'Kikusui Organic, Junmai Ginjo, Niigata,Denshin Yuki, Junmai Ginjo, Fukui,Shimeharitsuru, Junmai Ginjo, Niigata,Yuki No Bosha, Junmai Ginjo, Akita,Wakatake Onikoroshi, Daiginjo, Shizuoka,Yamato Shizuku, Junmai Daiginjo, Akita,Ken, Daiginjo, Fukushima,Dassai 23, Junmai Daiginjo, Yamaguchi,Hakkaisan ""Eight Peaks"", Daiginjo, Niigata,Wing of Japan, Junmai Daiginjo, Fukui,Nanbu Bijin ""Ancient Pillars"", Junmai Daiginjo Genshu, Iwate', 'Vallee de La Marne': 'Pol Roger, Brut Reserve NV,Tarlant, Zero Brut Nature NV,Christophe Mignon, Brut Nature Blanc de Noirs Pur Meunier NV', 'Cold Sake 500ml Bottle': 'Mizbasho, Junmai Daiginjo, Gunma,Shichi Hon Yari Shizuku, Junmai Daiginjo, Shiga', 'Spain': 'Tentenublo, Vinedos En Vinaspre Rioja, 2014', 'German': 'Gunderloch, Riesling Kabinett Jean Baptiste Rheinhessen, 2014,J. J. Prum, Riesling Spatlese Wehlener Sonnenuhr Mosel -Saar-Ruwer, 2008', 'Seasonal Namazake 720ml': 'Kubota Suiju, Daiginjo Nama, Niigata', 'Cold Sake 720ml Bottle': 'Kikusui Organic, Junmai Ginjo, Niigata,Denshin Yuki, Junmai Ginjo, Fukui,Yuki No Bosha, Junmai Ginjo, Akita,Shimeharitsuru, Junmai Ginjo, Niigata,Dassai 39 ""Otter Fest"", Junmai Daiginjo, Yamaguchi,Wakatake Onikoroshi, Daiginjo, Shizuoka,Yamato Shizuku, Junmai Daiginjo, Akita,Born, Tokusen Junmai Daiginjo, Fukui,Urakasumi Zen, Junmai Ginjo, Miyagi,Sato no Homare ""Pride of the Village"", Junmai Ginjo, Ibaraki,Kubota Manju, Junmai Daiginjo, Niigata,Ken 2013, Daiginjo, Fukushima,Taiten Shiragiku, Daiginjo, Okayama,Dassai 23, Junmai Daiginjo, Yamaguchi,Hakkaisan ""Eight Peaks"", Daiginjo, Niigata,Ohmine, Junmai Daiginjo, Yamaguchi,Tatenokawa 18, Junmai Daiginjo, Yamagata,Wing of Japan, Junmai Daiginjo, Fukui,Houou Biden ""Phoenix"", Junmai Daiginjo, Shizuoka,Nanbu Bijin ""Ancient Pillars"", Junmai Daiginjo Genshu, Iwate,Kyokusen, Junmai Daiginjo, Iwate,Hakkaisan ""Kongoshin"", Junmai Daiginjo, Niigata 800ml,Dassai ""Beyond"", Junmai Daiginjo, Yamaguchi', 'White': '', 'Wine': '', 'Champagne': '', 'Beer': 'Orion 5.0%, 334ml,Ginga Kogen 5.0%, 300ml,Oze No Yukidoke 5.5%, 330ml,Kagua Blanc 8.0%, 330ml,Kagua Rouge 8.0%, 330ml,Echigo Koshihikari 5.0%, 500ml', 'La Cote des Blancs': 'Agrapart & Fils, Brut 7 Crus NV,Robert Moncuit, Brut Le Mesnil-sur-Oger Blanc de Blancs Grand Cru 2008,Salon Brut, Le Mesnil Blanc de Blancs 1999', 'Drinks': 'S. Pellegrino Sparkling,Acqua Panna', '1/2 Bottle': 'Domaine Faiveley, Bourgogne Rouge, 2011,Lopez De Heredia, Tondonia Reserva Rioja, 2003', 'Cold Sake 300ml Bottle': 'Hakkaisan, Junmai Ginjo, Niigata,Kunimare Tokubetsu Junmai, Hokkaido,Wataribune, Junmai Ginjo, Iwate,Chikurin Karoyaka, Junmai Ginjo, Okayama,Dassai 23, Junmai Daiginjo, Yamaguchi', 'Tea': 'Hojicha,Yanagi Green,Genmaicha,Sencha,Decaf Sencha,Matcha', 'Omakase': 'Omakase Sushi,Omakase Sashimi & Sushi', 'Nigori (Unfiltered) Bottle': 'Dassai 50 (300 ml), Junmai Daiginjo, Yamagata,Sichi Hon Yari (720 ml), Junmai Ginjo, Shiga', 'Italy': 'Roagna, La Pira Barolo , 2008,Stella di Campalto, Brunello di Montalcino, 2008', 'Red': '', 'Rose': '', 'Supplement': 'Uni Platter,Toro with Caviar,Spring Sashimi,Aburi Sushi,Truffle and Crab Chawanmushi,Maguro Nuta,Hotaru Ika,Ankimo', 'United States': 'Eyrie Vineyards, Pinot Noir Daphne Vineyard Dundee Hills, 2013', 'La Cote des Bar': ""Val Frison, Extra Brut Goustan Blanc de Noirs NV,Marie Courtin, Extra Brut Eloquence Blanc de Blancs NV,Vouette & Sorbee, Extra Brut Blanc d'Argile Blanc de Blancs NV"", 'France': 'Fanny Sabre, Savigny-Les-Beaune, 2014,Chandon de Briailles, Corton Les Maréchaudes, 2011,Chateau Haut-Bailly, Pessac-Leognan Grand Cru Classe, 2007,Olga Raffault, Les Picasses Chinon, 2009,Jean-Louis Chave, Selections Cotes Du Rhone `Mon Coeur`, 2013'}}",Tue–Sat 5:00 pm–10:15 pm
Kura,,
Khe-Yo,"{'Cocktail Party': {'Dessert': 'Assortment of Chocolate Truffles', ""Passed Hors D'oeuvres"": 'Lollipop Chicken Wings, Sweet Chili &Thai Basil Glaze,Yellow Fin Tuna Tartar & Curried Shrimp Chips,Lemongrass Pork Sausage Skewers & Sweet Peanut,Chili Prawns, Scallion-Ginger Toast,Crunchy Coconut Rice, Kaffir Lime Sausage,Lobster Spring Roll – Peanut Hoisin,Char-Siu Glazed King Salmon with Garlic Rice', 'Beverage': 'Beer,Sparkling,Sake,Red Wine,White Wine,Open Bar'}, 'Passed Apps': {'Desserts': 'Desserts', 'Appetizers / Family Style': 'Crunchy Coconut Rice, Kaffir Lime Sausage, Honey Sambal,Creekstone Farms Beef Tartar & Bone Marrow, Crispy Chips,Bamboo Ginger Quail, Bang-Bang & Gai-lan,Grilled Laos Style Sausage, Star Fruit and Sweet Peanut Sauce', ""Passed Hors D'oeurves for 1 Hour"": 'Yellow Fin Tuna Tartar & Caviar with Shrimp Chips,Spicy Maine Crab & Avocado Roll with Black Kale, Peanut Hoisin,Sesame Beef Jerky, Pickled Radish & Smoked Chili Sauce,Lollipop Chicken Wings, Thai Basil, Sweet Chili Sauce,Smashed Green Papaya Salad & Cabbage Rolls with Chicharron', 'Entrée & Sides': 'Wok-Seared Lobster and Fresh Rice Noodles with U-Choy,Whole Caramelized Red Snapper, Tamarind Peanut Sauce & Crispy Shallots,Lemongrass Berkshire Spare Ribs, Smashed Long Bean Salad,Crispy Pig Face, Curried Rice Vermicelli, Rice Paper, Fresh Herbs & Lettuce,Crispy Brussels Sprouts & Picked Local Chilis,Wok-Seared Gai-lan & Ginger', 'Beverage': 'Full Open Bar'}, 'Wine List': {'Red Wine': 'Amity Vineyards, Pinot Noir, Willamette Valley, Oregon 2014,Il Chiosso, ""Fara,"" Nebbiolo, Piedmont, Italy 2010,Domaine Cheveau ""Champs Grilles,"" Saint-Amour, Beaujolais 2013,Domaine Le Couroulu, Vacqueyras, Rhone 2013,Domaine Calandray, Reserve, Cotes du Roussillon, 2013,La Sorda, Rioja, Spain 2013,Tierra Divina, Malbec, Mendoza, Argentina 2014,Boxwood Estate, Cabernet Blend, Middleburg, Virginia 2014,Chateau Le Pavillon de Boyrein, Graves, Bordeaux 2012,Jacq Girardon, Santenay Clos Rousseau ""1er Cru,"" Burgundy 2013,Clendenen, Pinot Noir, Santa Maria Valley, California 2012,Finca La Emperatriz ""Terruño,"" Tempranillo, Rioja, Spain 2010,Secondo Marco, Amarone Della Valpolicella Classico, Italy 2010,Domaine Faury, Cote Rotie, Rhone 2013,Fonbadet Château Pauillac, Bordeaux 2012,Quintessa, Napa Valley, California 2013,Joseph Phelps, Insignia, Napa Valley, California 2013', 'Khe-Yo Cocktails': 'Reposado Tequila & Cold Brew, Sherry & Chocolate Bitters,Thai Chili, Infused, Vodka, Cucumber,Bonded Rye & Apple Brandy, & Chartreuse,Mezcal, Strega, Sweet Vermouth, & Lemon,Bourbon, Spiced Pear, Maple Syrup, Sage,Rum, Apricot Liqueur, Lime & Sparkling,Lao Lao, Ginseng, Green Market Apple & Pear,Gin, Lemon, Egg White, Mountain Peach', 'Rose': 'Pichon, ""Marc Forgione,"" Ventoux-Rhone 2015 {MAG}', 'Beer': 'Sapporo, Lager, Japan {12 oz. Draft} – ABV 4.9%,Beer Lao, Lager, Vientiane, Laos - ABV 5%,Beer Lao Dark, Dark Lager, Vientiane, Laos – ABV 6.5%,Founders, Breakfast Stout, Grand Rapids, MI – ABV 8.3%,Ommegang ""Witte,"" Wheat Ale, Cooperstown, NY – ABV 5.2%,Victory ""Prima Pils,""German Pils, Downingtown, PA – ABV 5.3%,Sixpoint, Sweet Action Ale, Brooklyn, NY - ABV 5.2%,Bear Republic, Racer 5 I.P.A., Healdsburg, CA – ABV 7.5%,Bell\'s, Amber Ale, Comstock, MI – ABV 5.8%,Doc\'s Draft, Cider, Warwick Valley, NY – ABV 5 %', 'White Wine': 'Château L\'Oiseliniére, Muscadet, Loire 2015,Patricius, Furmint, Tokaji, Hungary 2014,Domaine \'Alzipratu ""Fiumeseccu"", Vermentino, Corse Calvi 2015,Campos de Celtas, Albariño, Rias Baixas, Spain 2014,Château Grand Renard, Blaye, Côtes de Bordeaux 2015,Domaine Mardon, ""Cuvée Trés Vieiles Vignes,"" Quincy, Loire 2014,Gundlach Bundschu, Gewürztraminer, Sonoma, California 2014,Dirler-Cadé, Riesling, Alsace 2012,Pacher Hof, Kerner, Alto Adige, Italy 2014,Le Paradou, Viognier, Languedoc 2015,Domaine Sainte Claire, ""Brocard,"" Chablis, Burgundy 2014,Heitz Cellar, Chardonnay, Napa Valley, California 2014,Domaine Paul Blanck, Pinot Gris, Alsace 2014,Domaine Mittnacht, ""Cuvée Gyotaku"", Field Blend, Alsace 2014,Andre & Michel Quenard, Chignin Blanc, Savoie 2014,Château Carbonnieux, ""Grand Cru"", Pessac-Leognan, Bordeaux 2013,Hugel, Riesling, Alsace 2007,Château Christian Moreau, ""Grand Cru"" Chablis, Burgundy 2013,Marc Colin, ""1er Cru"", Chassagne-Montrachet, Burgundy 2011', 'Sake': 'Ohmine, Junmai, Mine City, Yamaguchi Prefecture {100mL},Kikusui Funaguchi, Honjozo, Niigata Prefecture {200mL},Koshi, Junmai Ginjo, Niigata Prefecture {720mL},Tateyama, Junmai Ginjo, Toyama Prefecture {720mL},Born ""Gold"", Katoukichibee, Junmai Daiginjo, Fukui {720mL},Gassanryu, Junmai Daiginjo, Yamagata Prefecture {720mL},Dassai 23, Junmai Daiginjo, Yamaguchi Prefecture {720mL},Dassai, ""Nigori"" Junmai Daiginjo, Yamaguchi Pref.{720mL},Shichida, Junmai Daiginjo, Saga Prefecture {720mL},Harada, Junmai Daiginjo, Gifu Prefecture {720mL},Taiten Shiragiku, Junmai Daiginjo, Okayama Prefecture {720mL}', 'Sparkling Wine': ""Domaine Rolet, Pere et Fils, Crémant du Jura, Jura 2010,Domaine Joseph Cattin, Crémant d'Alsace, Rosé, Alsace NV,Perrier Jouët Grand Brut, Champagne NV""}, 'Brunch & Lunch': {'Market Bowls': 'Chili Caramel Skuna Bay Salmon,Grilled Ginger Prawns,Bell & Evans Lemongrass Chicken,Creekstone Farms Skirt Steak', 'Choices': 'Sticky Rice,Fresh Rice Noodles,Romaine Hearts', 'Brunch': 'Sweet Sausage Fried Rice,Nong-Khai Style Pho,Laos Style Omelette', 'Banh Mí': 'Char-Siu Berkshire Pork,Crispy ""Hen of the Woods"" Mushroom,Coconut Crusted Soft Shell Shrimp', 'Banh Mi': 'Char-Siu Berkshire Pork,Coconut Crusted Soft Shell Shrimp,Crispy ""Hen of the Woods"" Mushroom', 'Appetizer': 'Bell & Evans Chicken Wings', 'Noddle Soup': 'Nong-Khai Style Pho', 'Lunch': '', 'Appetizers': 'Bell & Evans Chicken Wings'}, ""Mother's Day 2017 Special Menu"": {""Mother's Day Specials"": 'Crispy Pork Belly Springrolls,Bell & Evans Chicken Salad {Laap-Gai},Crispy Softshell Crab,Wild Young Bamboo Stir-Fry'}, 'Dinner Menu': {'Large Plates': 'Whole Caramelized Red Snapper,Pork Curry Noodles,Chili Prawns,Wok Seared Lobster & Noodles,Berkshire Spare Ribs,Charred Curried King Salmon', 'Small Plates': 'Jurgielewicz Duck Salad,Lemongrass Chicken Sausage,Smashed Green Papaya Salad,Crunchy Coconut Rice,Bamboo Ginger Quail,Creekstone Farms Sesame Beef Jerky'}, 'Catering Menu': {'Market Bowl Sides': 'Sticky Rice,Fresh Rice Noodles,Jasmine Rice,Brown Rice,Romaine Hearts', 'Additional Sides': 'Sautéed Baby Bok Choy & Ginger', 'Market Bowl Proteins': 'Creekstone Farms Skirt Steak,Bell & Evans Lemongrass Chicken,Char-Siu Tofu, Ginger & Thai Basil,Caramelized Eggplant & Shitake Mushrooms,Hampshire Black Pepper Pork Chop'}}",Lunch:  Monday - Friday 11:30AM - 2:30PM                 Saturday - Sunday 12:00PM - 3:00PM                         Dinner: Monday - Wednesday: 5:30PM - 9:30PM                Thursday - Saturday: 5:30PM - 10:30PM                           Sunday: 5:30PM - 9:30PM
Kurumazushi,,
Krolewskie Jadlo,{},
L'Appart,,
